Recency,Frequency,Monetary,Time,Class,Scored Labels,Scored Probabilities
2,5,1250,33,1,2,0.999463319778442
4,8,2000,26,1,2,0.998782098293304
23,5,1250,33,0,2,0.876120567321777
23,2,500,38,0,2,0.875532805919647
14,7,1750,47,0,2,0.999329268932343
4,16,4000,70,1,2,1
2,1,250,2,0,1,0.295637130737305
21,4,1000,52,0,2,0.996926844120026
9,2,500,52,0,2,0.999560713768005
2,6,1500,15,1,2,0.98704981803894
8,10,2500,63,0,2,0.999997019767761
16,1,250,16,0,1,0.23768575489521
14,2,500,14,0,1,0.311129957437515
11,2,500,70,0,2,0.999980032444
2,1,250,2,0,1,0.295637130737305
4,1,250,4,0,1,0.28687196969986
21,1,250,21,0,1,0.218988597393036
4,1,250,4,0,1,0.28687196969986
11,2,500,24,0,2,0.85984605550766
2,3,750,38,1,2,0.999611258506775
2,5,1250,16,0,2,0.960273206233978
16,3,750,86,0,2,0.999998152256012
13,7,1750,76,0,2,0.999998152256012
11,11,2750,38,0,2,0.999451577663422
2,2,500,2,0,1,0.368174284696579
4,2,500,30,0,2,0.989097416400909
4,16,4000,38,1,2,0.999991595745087
20,14,3500,69,1,2,0.999998807907104
11,2,500,21,0,2,0.773234844207764
13,3,750,16,0,2,0.535400211811066
23,3,750,33,0,2,0.78583288192749
11,2,500,25,0,2,0.88182145357132
4,1,250,4,0,1,0.28687196969986
4,5,1250,58,0,2,0.999982833862305
21,2,500,25,0,1,0.460000425577164
2,1,250,2,0,1,0.295637130737305
23,3,750,35,0,2,0.844427824020386
2,34,8500,77,1,2,1
11,2,500,11,0,1,0.324943393468857
4,4,1000,46,0,2,0.999750673770905
23,1,250,23,0,1,0.211812630295753
2,4,1000,16,1,2,0.97963148355484
23,2,500,23,0,1,0.271716713905334
14,4,1000,26,0,2,0.901209950447083
2,11,2750,79,1,2,1
23,1,250,23,1,1,0.426061898469925
8,15,3750,77,0,2,0.999999940395355
2,9,2250,74,0,2,0.99999988079071
16,7,1750,64,0,2,0.999962866306305
2,5,1250,63,0,2,0.999995827674866
4,9,2250,26,1,2,0.999122440814972
16,6,1500,50,0,2,0.999201238155365
14,3,750,83,0,2,0.999997854232788
4,1,250,4,0,1,0.28687196969986
2,5,1250,47,1,2,0.999965369701386
2,13,3250,53,1,2,0.999999225139618
21,3,750,70,0,2,0.999873876571655
4,11,2750,64,1,2,0.999999761581421
4,9,2250,55,0,2,0.999991714954376
14,2,500,14,0,1,0.311129957437515
3,8,2000,50,0,2,0.999975323677063
2,3,750,4,1,2,0.767760038375854
4,1,250,4,0,1,0.28687196969986
11,4,1000,16,1,2,0.872145712375641
23,1,250,23,0,1,0.211812630295753
16,8,2000,76,0,2,0.999997437000275
2,2,500,4,1,2,0.704246580600739
2,11,2750,26,0,2,0.999185085296631
2,1,250,2,1,2,0.536916732788086
16,3,750,34,0,2,0.953241050243378
11,7,1750,29,0,2,0.988265693187714
21,2,500,21,0,1,0.280200660228729
4,1,250,4,1,2,0.526343584060669
16,3,750,21,0,2,0.615313768386841
14,1,250,14,0,1,0.245465293526649
4,7,1750,58,0,2,0.999991118907928
38,1,250,38,0,1,0.163486152887344
3,14,3500,35,0,2,0.99993497133255
2,2,500,11,1,2,0.903616666793823
2,4,1000,35,0,2,0.998609840869904
4,4,1000,41,0,2,0.999336659908295
2,5,1250,16,1,2,0.985244750976563
14,4,1000,38,0,2,0.989647448062897
4,6,1500,14,0,2,0.936297357082367
11,3,750,26,0,2,0.926469326019287
2,7,1750,32,1,2,0.999661266803741
2,2,500,16,0,2,0.900328636169434
23,12,3000,86,0,2,0.999999582767487
14,5,1250,28,0,2,0.949329316616058
