MPG,Scored Labels,Scored Labels,,,,,,,,,,,Cyl,Displacement,Horsepower,Weight,Acceleration,Year,CountryCode,Model
-0.95521163,-0.39652814,0.910249233,,,,,,,,,,,0.309966735,0.531889522,-0.116263044,0.947068662,0.52939816,-0.538073677,-0.716641045,chevrolet chevelle malibu classic
0.712514307,0.529520402,-0.758835435,,,,,,,,,,,-0.864013555,-0.999057947,-0.896658822,-1.226643353,-0.559395538,-0.266263263,0.526382361,volkswagen rabbit
1.867093802,0.378135819,0.312942922,,,,,,,,,,,0.309966735,0.646710582,-0.506460933,0.044105862,0.52939816,1.636409637,-0.716641045,oldsmobile cutlass ciera (diesel)
-0.95521163,-1.077266851,1.713963866,,,,,,,,,,,1.483947025,1.967152774,1.964792362,1.464563009,-1.611896113,0.277357566,-0.716641045,pontiac grand prix lj
0.327654476,0.41253628,-0.693680406,,,,,,,,,,,-0.864013555,-0.826826357,-0.298355392,-0.691466967,-0.014998689,-0.538073677,1.769405766,subaru
0.584227697,0.653140654,-0.673086941,,,,,,,,,,,-0.864013555,-0.836394778,-0.48044774,-0.605414377,-0.014998689,0.005547151,0.526382361,fiat 131
-1.019354935,-1.04556133,1.731788397,,,,,,,,,,,1.483947025,1.48873169,1.704660436,1.399728865,-1.503016743,0.277357566,-0.716641045,chevrolet monte carlo landau
-0.313778577,-0.201671779,0.281484425,,,,,,,,,,,0.309966735,0.35008951,0.143868881,0.072397125,-0.196464305,-0.266263263,-0.716641045,buick skyhawk
-0.570351798,-0.513941285,0.373791814,,,,,,,,,,,0.309966735,0.29267898,-0.116263044,0.769069468,0.783450023,0.277357566,-0.716641045,plymouth volare custom
0.199367865,-0.177977518,-0.677072287,,,,,,,,,,,-0.864013555,-0.520636863,-0.766592859,-0.513467773,0.52939816,-0.538073677,-0.716641045,chevrolet vega
-1.468358072,-1.833958879,1.880556345,,,,,,,,,,,1.483947025,1.967152774,1.626620858,2.2732216,-1.103792387,-0.809884091,-0.716641045,ford country
0.199367865,0.396657676,-0.834365487,,,,,,,,,,,-0.864013555,-0.927294784,-0.636526896,-1.003849659,0.52939816,-1.081694506,-0.716641045,dodge colt hardtop
-1.340071461,-1.688873392,1.092193007,,,,,,,,,,,1.483947025,1.029447449,0.924264659,1.551794402,0.166466928,-1.081694506,-0.716641045,ford gran torino (sw)
0.327654476,0.437232385,-0.990393341,,,,,,,,,,,-0.864013555,-0.932078995,-1.520975443,-1.346881219,1.799657475,-1.625315334,0.526382361,volkswagen 1131 deluxe sedan
1.738807192,1.386467582,-0.980538607,,,,,,,,,,,-0.864013555,-0.989489525,-0.948685207,-1.122908723,0.96491564,1.636409637,1.769405766,mazda glc custom l
-0.570351798,0.717322216,-0.836596668,,,,,,,,,,,-1.4510037,-1.190426381,-0.194302622,-0.763373927,-0.740861154,-1.081694506,1.769405766,mazda rx2 coupe
1.289804055,1.104683761,-0.999950767,,,,,,,,,,,-0.864013555,-1.046900055,-0.896658822,-1.217212932,0.456811914,0.277357566,1.769405766,datsun f-10 hatchback
-1.08349824,-1.109629066,1.071904063,,,,,,,,,,,1.483947025,1.182542196,1.184396584,1.364364787,-0.740861154,-1.081694506,-0.716641045,plymouth fury iii
-1.08349824,-0.820458782,1.006266236,,,,,,,,,,,1.483947025,1.182542196,1.184396584,0.496766065,-1.648189236,-0.809884091,-0.716641045,dodge dart custom
-1.596644683,-2.03837793,1.31604898,,,,,,,,,,,1.483947025,1.182542196,2.745188139,1.655529032,-0.740861154,-1.625315334,-0.716641045,dodge d200
-0.057205356,0.307828687,-0.886683762,,,,,,,,,,,-0.864013555,-0.712005296,-0.428421355,-0.024264689,0.52939816,-0.266263263,0.526382361,peugeot 504
0.071081255,0.494479409,-0.648062527,,,,,,,,,,,-0.864013555,-0.778984248,-0.246329007,-0.824671663,-0.014998689,-1.081694506,1.769405766,toyota corona hardtop
0.840800918,1.276369142,-0.7587111,,,,,,,,,,,-0.864013555,-0.932078995,-0.974698399,-1.170060828,0.311639421,0.277357566,1.769405766,subaru dl
-1.340071461,-1.205910532,1.370679498,,,,,,,,,,,1.483947025,1.498300112,1.392502125,1.633131782,-0.922326771,-0.809884091,-0.716641045,ford ltd
-1.211784851,-1.702155335,1.775272608,,,,,,,,,,,1.483947025,1.967152774,1.834726399,1.752190846,-1.46672362,-1.35350492,-0.716641045,pontiac catalina brougham
-1.08349824,-1.345036864,2.131198883,,,,,,,,,,,1.483947025,2.244637003,2.433029828,1.607198125,-2.011120469,-1.625315334,-0.716641045,ford galaxie 500
-0.698638409,-1.260077696,0.969035506,,,,,,,,,,,1.483947025,1.077289558,0.664132733,0.620540339,-1.285258003,-1.625315334,-0.716641045,chevrolet chevelle malibu
0.969087528,0.950735284,-0.64645648,,,,,,,,,,,-0.864013555,-0.78855267,-0.506460933,-0.474567287,0.239053174,1.636409637,-0.716641045,pontiac j2000 se hatchback
-1.08349824,-1.142907178,1.453716397,,,,,,,,,,,1.483947025,1.804489606,1.704660436,0.690089693,-2.011120469,-1.625315334,-0.716641045,dodge challenger se
0.481598408,0.996831272,-0.613041103,,,,,,,,,,,-0.864013555,-0.721573718,-0.194302622,-0.798738005,-0.305343675,0.54916798,1.769405766,datsun 510
1.097374139,0.987062576,-0.981616378,,,,,,,,,,,-0.864013555,-1.046900055,-0.896658822,-1.164166815,0.52939816,0.005547151,1.769405766,datsun b-210
-0.185491966,-0.382401842,0.240927562,,,,,,,,,,,0.309966735,0.034331595,-0.246329007,-0.170436213,-0.014998689,-1.625315334,-0.716641045,plymouth duster
-1.340071461,-1.702634243,1.500482202,,,,,,,,,,,1.483947025,1.48873169,1.184396584,2.029209459,-0.377929921,-0.538073677,-0.716641045,buick century luxus (sw)
-0.95521163,-0.771771133,0.369494855,,,,,,,,,,,0.309966735,0.29267898,0.013802919,0.543918169,-0.014998689,-1.35350492,-0.716641045,plymouth satellite custom
-0.057205356,0.303784262,-0.463280559,,,,,,,,,,,-0.864013555,-0.520636863,-0.688553281,-0.454527643,1.07379501,-0.266263263,-0.716641045,pontiac astro
-0.570351798,-0.396960981,0.466039777,,,,,,,,,,,0.309966735,0.359657932,-0.116263044,-0.090277636,0.166466928,-0.538073677,-0.716641045,amc hornet
-0.762781714,-0.400256394,0.525503576,,,,,,,,,,,0.309966735,0.531889522,0.143868881,0.639401181,0.311639421,0.277357566,-0.716641045,chevrolet concours
-1.211784851,-0.730722482,1.789631963,,,,,,,,,,,1.483947025,2.493415967,3.135386028,0.127800847,-2.011120469,-1.625315334,-0.716641045,buick estate wagon (sw)
-1.211784851,-1.738468407,1.176661134,,,,,,,,,,,1.483947025,1.029447449,0.924264659,1.9573025,0.166466928,-0.538073677,-0.716641045,ford gran torino (sw)
-0.442065188,-0.605894867,0.373543024,,,,,,,,,,,0.309966735,0.29267898,-0.116263044,0.793824323,0.783450023,0.005547151,-0.716641045,dodge aspen se
0.712514307,0.593757583,-0.813179255,,,,,,,,,,,-0.864013555,-0.922510573,-0.558487318,-0.894221017,0.347932544,-0.538073677,0.526382361,audi fox
-0.698638409,-0.399252127,0.412042379,,,,,,,,,,,0.309966735,0.359657932,-0.116263044,-0.222303528,-0.196464305,-0.809884091,-0.716641045,amc gremlin
-1.340071461,-0.965302831,1.077812672,,,,,,,,,,,1.483947025,1.182542196,1.184396584,0.916419794,-0.559395538,0.005547151,-0.716641045,dodge d100
0.840800918,0.906485096,-0.749140263,,,,,,,,,,,-0.864013555,-0.798121092,-0.636526896,-0.969664384,-0.269050552,0.277357566,-0.716641045,buick opel isuzu deluxe
-0.891068325,-1.340449071,1.455924034,,,,,,,,,,,1.483947025,1.48873169,1.964792362,1.653171426,-1.24896488,0.005547151,-0.716641045,cadillac seville
-0.416407865,0.119345562,0.04798536,,,,,,,,,,,0.309966735,0.053468438,-0.506460933,-0.014834269,0.093880681,0.54916798,-0.716641045,ford fairmont (auto)
0.071081255,0.714951706,-0.240857974,,,,,,,,,,,-0.864013555,-0.712005296,-0.194302622,-0.575944312,-0.196464305,-0.538073677,1.769405766,honda civic
-0.313778577,0.354806936,-0.626274228,,,,,,,,,,,-0.864013555,-0.692868453,-0.48044774,-0.885969398,0.347932544,-1.081694506,-0.716641045,ford pinto runabout
1.22566075,1.355736378,-0.884826541,,,,,,,,,,,-0.864013555,-0.989489525,-1.338883095,-1.394033324,0.710863777,-0.266263263,1.769405766,honda civic cvcc
1.610520581,1.043416473,-1.122795105,,,,,,,,,,,-0.864013555,-1.104310585,-1.208817133,-1.358669245,1.110088133,0.277357566,0.526382361,renault 5 gtl
-1.211784851,-1.313243382,1.333786607,,,,,,,,,,,1.483947025,1.048584293,1.184396584,1.508178705,-0.014998689,-0.538073677,-0.716641045,amc matador (sw)
-0.185491966,0.09483309,-0.51934886,,,,,,,,,,,-0.864013555,-0.520636863,-0.844632436,-0.671427323,1.255260626,-1.35350492,-0.716641045,chevrolet vega (sw)
-0.249635272,0.830595958,-0.672432065,,,,,,,,,,,-1.4510037,-1.094742164,0.143868881,-0.303640908,-0.740861154,0.277357566,1.769405766,mazda rx-4
0.455941086,1.151294536,-0.545924902,,,,,,,,,,,-0.864013555,-0.415384224,-0.37639497,-0.285958869,0.892329393,1.636409637,-0.716641045,pontiac phoenix
0.584227697,0.303208625,-0.533457577,,,,,,,,,,,-0.864013555,-0.520636863,-0.37639497,-0.841174899,-0.014998689,-1.35350492,-0.716641045,chevrolet vega 2300
-0.377921882,-0.262740796,0.213420346,,,,,,,,,,,0.309966735,0.053468438,-0.246329007,0.209138228,0.96491564,0.54916798,-0.716641045,chevrolet malibu
-0.544694476,-0.622019097,0.669729769,,,,,,,,,,,1.483947025,0.694552691,0.53406677,0.739599403,-0.196464305,0.820978394,-0.716641045,chevrolet malibu classic (sw)
0.071081255,0.237543757,-0.644024551,,,,,,,,,,,-0.864013555,-0.836394778,-0.37639497,-0.645493666,-0.377929921,-1.625315334,0.526382361,audi 100 ls
-0.634495103,-0.757344073,1.349508405,,,,,,,,,,,1.483947025,1.584415907,1.184396584,1.134498277,-0.922326771,0.820978394,-0.716641045,chrysler lebaron town @ country (sw)
-1.340071461,-0.994680634,1.357613683,,,,,,,,,,,1.483947025,1.48873169,1.054330622,1.270060578,-1.285258003,0.005547151,-0.716641045,chevy c10
0.327654476,0.513709029,-0.76477325,,,,,,,,,,,-0.864013555,-0.922510573,-0.37639497,-0.839996096,-0.014998689,-0.809884091,0.526382361,fiat 124 sport coupe
-0.826925019,-1.197049275,0.521299005,,,,,,,,,,,0.309966735,0.35008951,0.143868881,1.095597791,1.981123091,-0.266263263,-0.716641045,buick century
-0.698638409,-0.449102815,0.419479489,,,,,,,,,,,0.309966735,0.531889522,-0.428421355,0.190277386,-0.377929921,-1.35350492,-0.716641045,ford mustang
-1.211784851,-1.089892717,1.568962336,,,,,,,,,,,1.483947025,1.498300112,1.262436162,1.357291971,-0.922326771,-1.081694506,-0.716641045,ford galaxie 500
0.455941086,0.543270529,-0.964359641,,,,,,,,,,,-0.864013555,-0.932078995,-1.156790747,-1.348060022,1.255260626,-1.35350492,0.526382361,volkswagen model 111
-0.698638409,-1.080591402,0.998222709,,,,,,,,,,,1.483947025,1.182542196,1.184396584,0.540381761,-1.648189236,-1.625315334,-0.716641045,plymouth satellite
-0.826925019,0.027765313,-0.032408461,,,,,,,,,,,0.309966735,-0.300563164,0.53406677,0.191456188,-0.704568031,0.54916798,0.526382361,volvo 264gl
-0.442065188,-0.372114591,0.42279166,,,,,,,,,,,0.309966735,0.359657932,-0.116263044,-0.074953202,0.166466928,-0.266263263,-0.716641045,amc gremlin
0.969087528,1.00884111,-0.926817596,,,,,,,,,,,-0.864013555,-1.180857959,-1.026724785,-1.419966981,1.255260626,-1.35350492,1.769405766,toyota corolla 1200
